,date,open,close,high,low,volume,code
73,2010-04-26,5.726,5.799,5.872,5.658,109245.61,600159
74,2010-04-27,5.785,5.915,5.945,5.658,144569.13,600159
75,2010-04-28,5.823,5.818,5.94,5.746,69790.24,600159
76,2010-04-29,5.707,5.271,5.707,5.261,203855.81,600159
77,2010-04-30,5.111,4.955,5.183,4.902,123131.66,600159
78,2010-05-04,4.795,4.82,4.897,4.708,91839.08,600159
79,2010-05-05,4.757,4.975,5.062,4.718,118081.69,600159
80,2010-05-06,4.907,4.635,4.912,4.606,91858.34,600159
81,2010-05-07,4.529,4.587,4.747,4.49,70183.14,600159
82,2010-05-10,4.558,4.747,4.81,4.558,99052.57,600159
83,2010-05-11,4.824,4.558,4.844,4.538,92052.48,600159
84,2010-05-12,4.509,5.014,5.014,4.461,340500.75,600159
85,2010-05-13,4.926,5.014,5.023,4.757,231941.01,600159
86,2010-05-14,4.907,4.936,5.057,4.81,187621.72,600159
87,2010-05-17,4.815,4.441,4.873,4.441,138393.29,600159
88,2010-05-18,4.466,4.713,4.849,4.218,214256.43,600159
89,2010-05-19,4.567,4.582,4.694,4.461,140810.89,600159
90,2010-05-20,4.514,4.393,4.616,4.374,93630.56,600159
91,2010-05-21,4.218,4.592,4.631,4.18,145028.14,600159
92,2010-05-24,4.679,4.849,4.921,4.631,195385.43,600159
93,2010-05-25,4.742,4.718,4.786,4.635,112712.43,600159
94,2010-05-26,4.703,4.742,4.781,4.606,76126.2,600159
95,2010-05-27,4.684,4.752,4.786,4.567,85454.71,600159
96,2010-05-28,4.786,4.631,4.81,4.582,92075.98,600159
97,2010-05-31,4.548,4.504,4.713,4.5,75964.67,600159
98,2010-06-01,4.437,4.344,4.495,4.286,64767.16,600159
99,2010-06-02,4.364,4.514,4.534,4.34,73118.2,600159
100,2010-06-03,4.509,4.398,4.548,4.393,70975.58,600159
101,2010-06-04,4.354,4.839,4.839,4.315,156374.13,600159
102,2010-06-07,4.8,4.863,4.994,4.747,261561.3,600159
103,2010-06-08,4.805,4.907,4.931,4.761,154688.67,600159
104,2010-06-09,4.921,5.072,5.178,4.81,240991.06,600159
105,2010-06-10,4.96,4.907,5.018,4.883,151402.6,600159
106,2010-06-11,4.912,4.912,4.96,4.824,104338.94,600159
107,2010-06-17,4.897,4.921,4.984,4.858,86472.56,600159
108,2010-06-18,4.897,4.776,5.057,4.757,124505.81,600159
109,2010-06-21,4.839,5.067,5.106,4.727,170570.06,600159
110,2010-06-22,5.014,5.028,5.072,4.975,109763.96,600159
111,2010-06-23,4.984,4.955,5.052,4.897,96645.17,600159
112,2010-06-24,4.96,4.999,5.13,4.951,103700.48,600159
113,2010-06-25,4.926,4.917,5.009,4.849,80703.5,600159
114,2010-06-29,4.98,4.524,5.111,4.509,163978.48,600159
115,2010-06-30,4.383,4.247,4.461,4.194,98852.11,600159
116,2010-07-01,4.252,4.272,4.432,4.252,69297.5,600159
